GEOID,low_income_pct,lower_middle_income_pct,upper_middle_income_pct,high_income_pct
250092011001,0.05121293800539083,0.15633423180592992,0.20485175202156333,0.5876010781671159
250092011002,0.1835985312117503,0.11260709914320685,0.379436964504284,0.3243574051407589
250092011003,0.030612244897959183,0.15714285714285714,0.1510204081632653,0.6612244897959184
250092021011,0.03754266211604096,0.29692832764505117,0.22184300341296928,0.44368600682593856
250092021012,0.019801980198019802,0.07590759075907591,0.24752475247524752,0.6567656765676567
250092021013,0.014925373134328358,0.13432835820895522,0.4141791044776119,0.43656716417910446
250092021031,0.140893470790378,0.10481099656357389,0.23539518900343642,0.5189003436426117
250092021041,0.13808463251670378,0.1492204899777283,0.19376391982182628,0.5189309576837416
250092021042,0.14102564102564102,0.07948717948717948,0.41025641025641024,0.36923076923076925
250092021043,0.04081632653061224,0.03741496598639456,0.03741496598639456,0.8843537414965986
250092021044,0.271523178807947,0.16556291390728478,0.5198675496688742,0.04304635761589404
250092021045,0.4940021810250818,0.019629225736095966,0.17884405670665213,0.3075245365321701
250092022001,0.0,0.04929577464788732,0.2112676056338028,0.7394366197183099
250092022002,0.037520391517128875,0.024469820554649267,0.3262642740619902,0.6117455138662317
250092022003,0.05785123966942149,0.0,0.34297520661157027,0.5991735537190083
250092022004,0.06954436450839328,0.0,0.17985611510791366,0.750599520383693
250092022005,0.0,0.06167400881057269,0.14537444933920704,0.7929515418502202
250092022006,0.14157706093189965,0.10752688172043011,0.1057347670250896,0.6451612903225806
250092031001,0.0,0.03180212014134275,0.21908127208480566,0.7491166077738516
250092031002,0.16201117318435754,0.0335195530726257,0.19273743016759776,0.611731843575419
250092031003,0.0,0.20408163265306123,0.0,0.7959183673469388
250092031004,0.0,0.04985337243401759,0.187683284457478,0.7624633431085044
250092031005,0.0,0.01907356948228883,0.0,0.9809264305177112
250092031006,0.0,0.04460966542750929,0.21561338289962825,0.7397769516728625
250092031007,0.1553030303030303,0.03787878787878788,0.10606060606060606,0.7007575757575758
250092031008,0.0,0.0,0.11538461538461539,0.8846153846153846
250092032001,0.12797619047619047,0.22916666666666666,0.21726190476190477,0.4255952380952381
250092032002,0.0,0.09345794392523364,0.3052959501557632,0.6012461059190031
250092032003,0.01832460732984293,0.01832460732984293,0.21465968586387435,0.7486910994764397
250092032004,0.0,0.12763157894736843,0.09210526315789473,0.7802631578947369
250092033011,0.06936416184971098,0.28901734104046245,0.1676300578034682,0.47398843930635837
250092033012,0.060574948665297744,0.14271047227926079,0.1704312114989733,0.6262833675564682
250092033013,0.25308641975308643,0.09876543209876543,0.35185185185185186,0.2962962962962963
250092033014,0.05639097744360902,0.09022556390977443,0.16917293233082706,0.6842105263157895
250092033021,0.08484848484848485,0.05454545454545454,0.16818181818181818,0.6924242424242424
250092033022,0.15201900237529692,0.10688836104513064,0.44655581947743467,0.29453681710213775
250092033023,0.23193916349809887,0.18250950570342206,0.043726235741444866,0.5418250950570342
250092033024,0.02850877192982456,0.06140350877192982,0.09649122807017543,0.8135964912280702
250092041011,0.20597014925373133,0.09253731343283582,0.2701492537313433,0.43134328358208956
250092041012,0.06722689075630252,0.21008403361344538,0.45938375350140054,0.26330532212885155
250092041013,0.19141914191419143,0.18151815181518152,0.23432343234323433,0.3927392739273927
250092041014,0.0364741641337386,0.20972644376899696,0.13069908814589665,0.6231003039513677
250092041021,0.09934497816593886,0.20414847161572053,0.17139737991266377,0.5251091703056768
250092041022,0.13920704845814977,0.22378854625550662,0.320704845814978,0.3162995594713656
250092042001,0.5114854517611026,0.11332312404287902,0.14548238897396631,0.22970903522205208
250092042002,0.36633663366336633,0.2623762376237624,0.3613861386138614,0.009900990099009901
250092042003,0.07379518072289157,0.15060240963855423,0.40512048192771083,0.3704819277108434
250092042004,0.15026833631484796,0.24150268336314848,0.48300536672629696,0.1252236135957066
250092042005,0.035830618892508145,0.21498371335504887,0.2736156351791531,0.4755700325732899
250092043001,0.3068309070548712,0.1769316909294513,0.1959686450167973,0.3202687569988802
