budget,f_last,distances_last,social_last,social_weight_last,time_s,poi_cross_income_copresence,visit_level_cross_income_probability,delta_poi_cross_income_copresence_pp,delta_visit_level_cross_income_probability_pp
0.01,-121215.86420121294,21518.305804740376,754.1197588351744,0.6486489768514404,493.10582852363586,0.6486489768514405,0.648648976851441,1.2629267819686762,1.2629267819687318
0.02,-121283.91829219826,21591.28852746555,791.4790007276479,0.649121959722771,494.871062040329,0.6491219597227713,0.6491219597227703,1.3102250691017558,1.310225069101667
0.03,-121379.34861759497,21775.36159518834,803.7446734674944,0.6490035576900557,482.23288083076477,0.6490035576900559,0.6490035576900566,1.2983848658302155,1.2983848658302932
0.04,-121425.88712885606,21792.8264987054,830.0577599630769,0.6492586161290649,485.0333921909332,0.649258616129065,0.6492586161290657,1.3238907097311237,1.3238907097312014
0.05,-121459.59233240962,21945.15108571521,849.7701079612566,0.6484175411983709,452.0579311847687,0.6484175411983714,0.648417541198371,1.2397832166617606,1.2397832166617384
0.060000000000000005,-121559.81925270622,22012.592566928965,866.8927380210674,0.6482103603047477,446.78706669807434,0.6482103603047479,0.6482103603047477,1.2190651272994124,1.2190651272994013
0.06999999999999999,-121590.39924872338,21875.40955692902,858.0635108647068,0.6480709984608881,465.8657269477844,0.648070998460888,0.6480709984608898,1.2051289429134249,1.2051289429136136
0.08,-121855.57109815333,22459.63127470322,880.7709365483746,0.6481248939477681,453.5139856338501,0.6481248939477682,0.6481248939477687,1.2105184916014422,1.2105184916015088
0.09,-121889.76425233277,22882.137571549923,898.7377529786427,0.6483067884892341,469.77383160591125,0.6483067884892343,0.6483067884892335,1.2287079457480532,1.2287079457479866
0.09999999999999999,-121939.18868013975,22840.255423582945,882.905426127551,0.6479675239897535,765.6818199157715,0.6479675239897535,0.6479675239897543,1.1947814957999792,1.194781495800068
0.11,-121960.74557048565,23121.709065168907,923.619790482875,0.6480957296599674,706.6704790592194,0.6480957296599673,0.6480957296599673,1.2076020628213557,1.2076020628213668
0.12,-121916.56433153503,23218.213932134397,946.8353083471231,0.6483826542870671,434.0645067691803,0.6483826542870674,0.6483826542870679,1.2362945255313673,1.2362945255314228
0.13,-121962.12816335243,22955.284705955593,913.0189321312157,0.6477297364767032,443.7688739299774,0.6477297364767033,0.647729736476703,1.1710027444949533,1.1710027444949311
0.14,-121886.11833272222,23009.936005156123,940.1916476780484,0.647704911229878,440.9967522621155,0.6477049112298782,0.6477049112298774,1.1685202198124411,1.1685202198123745
0.15000000000000002,-121955.31208991425,23131.697909439215,956.1925405834032,0.6470734980436469,436.5024127960205,0.6470734980436468,0.6470734980436477,1.1053789011893023,1.1053789011894022
0.16,-122098.91514247982,22863.967923004246,958.9151222545213,0.6470934564701726,434.7988896369934,0.6470934564701728,0.6470934564701734,1.1073747438419046,1.1073747438419712
0.17,-122011.97890836155,23228.006244099353,974.2783815138687,0.6471630749864387,427.06525802612305,0.6471630749864388,0.6471630749864388,1.1143365954685014,1.1143365954685125
0.18000000000000002,-121997.57881376379,23271.1063851653,983.9051301211372,0.6476572312350481,422.76565504074097,0.6476572312350484,0.6476572312350476,1.1637522203294615,1.1637522203293948
0.19,-121948.7529003818,23155.946915330453,991.0738898267967,0.6473758047320153,428.88176250457764,0.6473758047320153,0.6473758047320146,1.1356095700261526,1.135609570026097
0.2,-121953.77379737579,23399.91476682139,1001.4900278774003,0.6471969160088794,430.73541927337646,0.6471969160088795,0.6471969160088797,1.1177206977125764,1.1177206977126097
0.21000000000000002,-121905.56555192603,23461.016204658434,999.8426038532439,0.6472657306530478,427.4054388999939,0.6472657306530478,0.6472657306530483,1.1246021621294067,1.1246021621294622
0.22,-121945.08065119799,23598.474828940118,1014.3195991412672,0.6478689200108504,697.9564075469971,0.6478689200108504,0.6478689200108518,1.1849210979096636,1.184921097909819
0.23,-121906.70109948829,23236.308147449006,1003.8112762497028,0.6471957113793335,922.0033466815948,0.6471957113793336,0.6471957113793344,1.1176002347579872,1.117600234758076
0.24000000000000002,-121965.44136481098,23477.939748146462,999.9341229857396,0.6474658099723339,918.3674395084381,0.6474658099723338,0.6474658099723343,1.1446100940580073,1.1446100940580628
0.25,-121977.47710377979,23415.335146191657,994.766212467526,0.6472085921772528,492.32847476005554,0.6472085921772528,0.6472085921772545,1.118888314549904,1.1188883145500816
0.26,-121950.74287948947,23542.231098369,992.4031594579324,0.6471992544042366,455.27728295326233,0.6471992544042365,0.6471992544042369,1.117954537248278,1.1179545372483224
0.27,-121948.26071607019,23637.26361560438,1015.5638391415059,0.64757727004568,461.3072726726532,0.6475772700456798,0.647577270045681,1.155756101392602,1.1557561013927353
0.28,-121892.27541710321,23591.84199826394,1017.864148011334,0.6475479395241651,450.27641344070435,0.6475479395241651,0.6475479395241652,1.1528230492411362,1.1528230492411584
0.29000000000000004,-121904.13125512093,23372.143680666824,1009.1182546711309,0.6461599928048651,441.0863084793091,0.6461599928048649,0.6461599928048649,1.0140283773111158,1.014028377311127
0.3,-121972.54175245432,23230.532808177897,1004.8478631443882,0.6469075124594453,437.76051473617554,0.6469075124594452,0.6469075124594452,1.0887803427691467,1.0887803427691578
0.31,-121913.14710601534,22960.647572140857,995.0966647914508,0.6462959948852353,448.06844782829285,0.6462959948852354,0.6462959948852348,1.0276285853481615,1.027628585348117
0.32,-121886.39106887188,22836.15100821646,997.0074952773234,0.6463270660193631,579.3722295761108,0.6463270660193635,0.6463270660193625,1.0307356987609761,1.0307356987608873
0.33,-121827.6842032212,23052.54114079527,1006.1781242640815,0.646268848432601,921.1108317375183,0.6462688484326011,0.6462688484326002,1.0249139400847374,1.0249139400846596
0.34,-121805.96774971054,22880.921373076744,1010.9027937361187,0.6462084554421919,930.5172641277313,0.646208455442192,0.6462084554421913,1.018874641043821,1.0188746410437655
0.35000000000000003,-121938.20579409697,23088.6290404717,1004.9484221240012,0.6463138487562764,914.1075768470764,0.6463138487562765,0.6463138487562763,1.0294139724522755,1.0294139724522644
0.36000000000000004,-122062.15192878735,23138.828328169053,993.7287489730115,0.64644496157112,940.3917009830475,0.6464449615711202,0.6464449615711203,1.0425252539366436,1.0425252539366658
0.37,-122073.70105860608,23130.169645878,992.9227046515857,0.6466065170845637,918.5899803638458,0.6466065170845638,0.6466065170845643,1.0586808052810093,1.0586808052810648
0.38,-122068.98343858375,23176.640260696815,997.9533569161957,0.6467685139826346,917.1345837116241,0.6467685139826345,0.6467685139826351,1.0748804950880708,1.0748804950881485
0.39,-122024.0007507816,23166.380580275145,997.5259824585255,0.6466438600857375,952.5490729808807,0.6466438600857376,0.646643860085738,1.0624151053983844,1.0624151053984399
0.4,-121985.69022953784,23224.563642330322,1003.5957794868362,0.6469121838361831,530.6475791931152,0.6469121838361831,0.6469121838361843,1.0892474804429342,1.0892474804430674
0.41000000000000003,-122082.88042996838,23311.803786405573,1006.3449688055391,0.6466743871629913,444.7038025856018,0.6466743871629912,0.6466743871629923,1.0654678131237438,1.065467813123866
0.42000000000000004,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,445.78325748443604,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.43,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,451.3364806175232,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.44,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,446.5228679180145,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.45,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,428.4496269226074,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.46,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,448.03958201408386,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.47000000000000003,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,447.34565019607544,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.48000000000000004,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,437.5458221435547,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.49,-121926.31852209553,23111.099192909853,1014.7038854510259,0.64693470201469,435.4547350406647,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.5,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,445.13236117362976,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.51,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,429.6414084434509,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.52,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,442.20902848243713,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.53,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,449.1750226020813,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.54,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,428.39277172088623,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.55,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,428.32850980758667,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.56,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,428.5359671115875,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.5700000000000001,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,426.1051769256592,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.5800000000000001,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,426.1314709186554,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.59,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,426.40742659568787,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.6,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,426.50686955451965,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.61,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,426.4544379711151,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.62,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,424.78104758262634,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.63,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,425.8698480129242,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
