disparity_cbgs_finals,disparity_pois_finals,entropy_cbgs_finals,entropy_pois_finals,degree_finals,clustering_finals,betweenness_finals,modularity_finals
0.8182171353581812,0.09050959650677363,0.4222795662506372,3.3020631174924318,59.388203017832645,0.83763259245636,0.0020892127723856303,0.5892777572663385
0.8018842270905193,0.08732948081916486,0.46714845262681637,3.359566478019539,63.519890260631,0.8293663661780415,0.002008529073076427,0.5739486572076437
0.7977222063303185,0.08622100855447765,0.48015211253385076,3.381294131926449,63.204389574759944,0.8299972452899013,0.0020429123032414077,0.5785837341057224
0.7817978340928675,0.08276093284763751,0.5183791110650926,3.4257912612753234,66.36488340192044,0.8246631992905621,0.0020194354979621667,0.5933744833022679
0.7734012452120719,0.08656762181183632,0.5444946768770905,3.410093453213539,71.58024691358025,0.8185894603772961,0.0019424633006578079,0.5447064112796061
0.767546191159793,0.08737208034408425,0.5614037881893573,3.4154028737626794,72.03017832647463,0.818307442573213,0.001934423440867988,0.5516932825573961
0.7693327907366218,0.08349982571031056,0.5566814491286668,3.433200290281029,72.41426611796982,0.8198892080468969,0.0019479424314107691,0.5398317480502509
0.7616665291110004,0.08378428104067737,0.5793210031834704,3.431733986497169,75.96433470507544,0.8283973827039421,0.0019151091161891515,0.5452893551744115
0.7531242755675593,0.08219508494582296,0.6018557785904307,3.4643003343199834,78.0082304526749,0.8252586765362124,0.001889330764973946,0.531340904300079
0.7612034218635518,0.08664408027139417,0.5803122880500836,3.4348474067379255,76.63648834019205,0.8282881414776184,0.001923729546124982,0.5475495227899551
0.7423392397897132,0.08080727384499381,0.6300494661001879,3.5009839008438575,81.04526748971193,0.8224447416109311,0.0018790100938962315,0.5393785655801414
0.7297414656228943,0.07864184537884059,0.6608752639363271,3.5314537376253883,82.53772290809327,0.8192188856406469,0.0018674557112582485,0.5254134552902031
0.7413987803901765,0.07791640579365092,0.626459167086687,3.497183868350716,77.56927297668038,0.818489581907378,0.0019115116547487024,0.5512761831942358
0.727746134648362,0.07947874588709267,0.6622785835701226,3.5213025010195564,80.05212620027434,0.8158232260520394,0.0019060066056856527,0.5515440278810484
0.719871082031157,0.07542860065532468,0.6831533770528395,3.5565087278092054,81.79698216735254,0.8131084145043183,0.001900911065922019,0.5538252890758633
0.717822100671576,0.07911726127031983,0.6873934171072418,3.5337603730168445,82.50205761316873,0.8143871506661877,0.0018634487405183823,0.53488518487946
0.7098682492398559,0.07792810786732744,0.7095605715738259,3.560945116066587,84.40329218106996,0.8133562151972393,0.0018468921240330893,0.542435483621903
0.7063137830204795,0.0746058958972381,0.7198260869789784,3.5730330398807526,85.70919067215364,0.8116702105228145,0.0018303666095199032,0.5372167690319765
0.703068353161293,0.07492852420830526,0.7290547727135591,3.572413702041337,87.02331961591221,0.810251846262277,0.0018204554477416056,0.5321511517966736
0.6973999174715774,0.07277612009750173,0.7439300148894753,3.6057710662254703,88.69135802469135,0.8069371306984924,0.0018177910454643862,0.5332379173368119
0.6970323095850012,0.07232588675594437,0.7436745839338041,3.6103443709470153,88.75445816186557,0.8067679683246402,0.001819724551397076,0.5348306670327806
0.6922891003600743,0.0725480546306703,0.7578985293472168,3.6211923120806455,91.9122085048011,0.8107498106174655,0.001784066140375682,0.5203930502202934
0.6944595550275537,0.07488425569398778,0.7491016285689932,3.590561938731502,89.84636488340192,0.8107669680358826,0.0018007264301013344,0.5254510745840336
0.6957739413901485,0.0735322279619237,0.7444117798474693,3.600094269222407,89.71467764060357,0.8113068602446218,0.0018109537952627262,0.5354586375835404
0.6975606435863806,0.07435766992700521,0.7377138863492164,3.588065991765525,89.00960219478738,0.8103311359509424,0.0018097719203226358,0.5306947497520306
0.6989925257507721,0.07349663865429175,0.7357588784088807,3.595666181364745,89.09739368998628,0.8097912451180689,0.0018016543056025463,0.5292612571171985
0.6916417380981835,0.07240432173630942,0.7598845760713684,3.6270080881729525,91.95884773662551,0.8092077484853708,0.0017894778835224096,0.5152071380141819
0.6918276519424049,0.07412913430390074,0.7597322693489065,3.6137836198156146,92.24142661179698,0.8103221680104894,0.0017922615100260423,0.5138976893899626
0.6922689198989784,0.07140507495964507,0.7560342272815953,3.617604660429227,90.42798353909465,0.804195963451411,0.0017906390238144275,0.5148318823686991
