source,target,weight
250092114011,250092172011,1
250092114011,250092102002,1
250092114011,250092173002,1
250092114011,250092131003,1
250092114011,250092141003,1
250092114011,250092109001,1
250092114011,250092114021,1
250092114011,250092114022,1
250092081011,250092059001,1
250092081011,250092054001,2
250092081011,250092052005,2
250092081011,250092057002,2
250092081011,250092065003,1
250092081011,250092047012,1
250092081011,250092102002,1
250092081011,250092106002,1
250092081011,250173341003,2
250092081011,250092105004,1
250092081011,250092131003,1
250092081011,250092051004,1
250092081011,250092109001,2
250092081011,250173343002,2
250092081011,250092105003,1
250092081011,250092106001,1
250092081011,250092091003,2
250092081011,250092081012,1
250092081011,250173373001,1
250092081011,250173384001,1
250092081011,250173344002,1
250092081011,250092059002,1
250092544011,250092541004,1
250092544011,250173141013,2
250092544011,250092605002,1
250092544011,250092532024,1
250092544011,250092541003,2
250092544011,250092541001,1
250092544011,250092543011,2
250092544011,250092131003,1
250092544011,250092544021,2
250092544011,250092518003,1
250092544011,250092215002,1
250092544011,250173323004,1
250092544011,250173335021,1
250092544011,250173143011,1
250092059001,250092054001,1
250092059001,250092052005,2
250092059001,250092057002,2
250092059001,250092065003,3
250092059001,250092047012,3
250092059001,250092102002,1
250092059001,250092106002,2
250092059001,250173341003,1
250092059001,250092105004,1
250092059001,250092131003,2
250092059001,250092051004,3
250092059001,250092109001,2
250092059001,250173343002,2
250092059001,250092105003,2
250092059001,250092106001,1
250092059001,250092091003,2
250092059001,250092081012,1
250092059001,250173384001,1
250092059001,250092114021,2
250092059001,250092022004,1
250092059001,250092068002,1
250092059001,250092059002,1
250092059001,250092172011,1
250092059001,250092609003,1
250092059001,250092173002,1
250092059001,250092141003,1
250092054001,250092052005,2
250092054001,250092057002,2
250092054001,250092065003,1
250092054001,250092047012,1
250092054001,250092102002,1
250092054001,250092106002,1
250092054001,250173341003,2
250092054001,250092105004,1
250092054001,250092131003,1
250092054001,250092051004,1
250092054001,250092109001,2
250092054001,250173343002,2
250092054001,250092105003,1
250092054001,250092106001,1
250092054001,250092091003,2
250092054001,250092081012,1
250092054001,250173373001,1
250092054001,250173384001,1
250092054001,250173344002,1
250092054001,250092059002,1
250092541004,250173141013,1
250092541004,250092605002,1
250092541004,250092532024,1
250092541004,250092541003,2
250092541004,250092541001,2
250092541004,250092543011,1
250092541004,250092131003,1
250092541004,250092544021,2
250092541004,250092518003,3
250092541004,250092215002,1
250092541004,250092141003,1
250092541004,250173143011,1
330150610012,330150625002,1
330150610012,330151062004,1
330150610012,330151064002,1
330150610012,330150670002,1
330150610012,330150670001,1
250092052005,250092057002,3
250092052005,250092065003,2
250092052005,250092047012,2
250092052005,250092102002,1
250092052005,250092106002,2
250092052005,250173341003,2
250092052005,250092105004,1
250092052005,250092131003,1
250092052005,250092051004,2
250092052005,250092109001,2
250092052005,250173343002,3
250092052005,250092105003,2
250092052005,250092106001,1
250092052005,250092091003,3
250092052005,250092081012,2
250092052005,250173373001,1
250092052005,250173384001,2
250092052005,250173344002,1
250092052005,250092059002,2
250092052005,250092114021,1
250092052005,250092022004,1
250092052005,250092068002,1
250173141013,250092605002,1
250173141013,250092532024,1
250173141013,250092541003,2
250173141013,250092541001,1
250173141013,250092543011,2
250173141013,250092131003,1
250173141013,250092544021,2
250173141013,250092518003,1
250173141013,250092215002,1
250173141013,250173384001,1
250173141013,250250504002,1
250173141013,250092106001,1
250173141013,250250920002,1
250173141013,250173323004,1
250173141013,250173335021,1
250173141013,250173143011,1
250092081012,250092057002,2
250092081012,250173341003,1
250092081012,250173373001,1
250092081012,250173384001,2
250092081012,250092109001,1
250092081012,250173343002,2
250092081012,250173344002,1
250092081012,250092091003,2
250092081012,250092059002,2
250092081012,250092065003,1
250092081012,250092047012,1
250092081012,250092106002,1
250092081012,250092051004,1
250092081012,250092114021,1
250092081012,250092022004,1
250092081012,250092105003,1
250092081012,250092068002,1
250092057002,250092065003,2
250092057002,250092047012,2
250092057002,250092102002,1
250092057002,250092106002,2
250092057002,250173341003,2
250092057002,250092105004,1
250092057002,250092131003,1
250092057002,250092051004,2
250092057002,250092109001,2
250092057002,250173343002,3
250092057002,250092105003,2
250092057002,250092106001,1
250092057002,250092091003,3
250092057002,250173373001,1
250092057002,250173384001,2
250092057002,250173344002,1
250092057002,250092059002,2
250092057002,250092114021,1
250092057002,250092022004,1
250092057002,250092068002,1
250235451003,250173335021,1
250235451003,250235452003,1
250092172011,250092609003,2
250092172011,250092173002,3
250092172011,250092141003,3
250092172011,250173343002,1
250092172011,250092022004,2
250092172011,250092102002,1
250092172011,250092131003,2
250092172011,250092109001,2
250092172011,250092114021,2
250092172011,250092114022,1
250092172011,250092065003,2
250092172011,250092605002,1
250092172011,250092047012,2
250092172011,250092051004,2
250092172011,250092105003,1
250092172011,250092106001,1
250092172011,250092068002,1
250235031024,250235031021,1
250235031024,250235031012,1
250235031024,250235109002,1
250235031024,250235041023,1
250235031024,250235081012,1
250092065003,250092047012,4
250092065003,250092102002,1
250092065003,250092106002,2
250092065003,250173341003,1
250092065003,250092105004,1
250092065003,250092131003,2
250092065003,250092051004,4
250092065003,250092109001,2
250092065003,250173343002,2
250092065003,250092105003,3
250092065003,250092106001,2
250092065003,250092091003,2
250092065003,250173384001,1
250092065003,250092114021,2
250092065003,250092022004,2
250092065003,250092068002,2
250092065003,250092059002,1
250092065003,250092605002,1
250092065003,250092609003,1
250092065003,250092173002,1
250092065003,250092141003,1
250214103002,250214412041,1
250214103002,250214104001,1
250214103002,250214103001,1
250214103002,250214091022,1
250214103002,250214412021,1
250092605002,250092532024,1
250092605002,250092541003,1
250092605002,250092541001,1
250092605002,250092543011,1
250092605002,250092131003,2
250092605002,250092544021,1
250092605002,250092518003,1
250092605002,250092215002,1
250092605002,250092609003,1
250092605002,250092607001,1
250092605002,250092607002,1
250092605002,250092601002,1
250092605002,250092611012,1
250092605002,250092047012,1
250092605002,250092051004,1
250092605002,250092022004,1
250092605002,250092105003,1
250092605002,250092106001,1
250092605002,250092068002,1
250092047012,250092102002,1
250092047012,250092106002,2
250092047012,250173341003,1
250092047012,250092105004,1
250092047012,250092131003,2
250092047012,250092051004,4
250092047012,250092109001,2
250092047012,250173343002,2
250092047012,250092105003,3
250092047012,250092106001,2
250092047012,250092091003,2
250092047012,250173384001,1
250092047012,250092114021,2
250092047012,250092022004,2
250092047012,250092068002,2
250092047012,250092059002,1
250092047012,250092609003,1
250092047012,250092173002,1
250092047012,250092141003,1
250251105022,250092607001,1
250251105022,250251005003,1
250251105022,250250920002,1
250092609003,250092173002,2
250092609003,250092141003,2
250092609003,250173343002,1
250092609003,250092022004,1
250092609003,250092607001,1
250092609003,250092607002,1
250092609003,250092131003,2
250092609003,250092601002,1
250092609003,250092611012,1
250092609003,250092051004,1
250092609003,250092109001,1
250092609003,250092114021,1
330150625002,330151062004,1
330150625002,330151064002,1
330150625002,330150670002,1
330150625002,330150670001,1
250092532024,250092541003,1
250092532024,250092541001,1
250092532024,250092543011,1
250092532024,250092131003,1
250092532024,250092544021,1
250092532024,250092518003,1
250092532024,250092215002,1
250214412041,250214104001,1
250214412041,250214103001,1
250214412041,250214091022,1
250214412041,250214412021,2
250214412041,250173384001,1
250214412041,250173837001,1
250092541003,250092541001,1
250092541003,250092543011,2
250092541003,250092131003,1
250092541003,250092544021,3
250092541003,250092518003,2
250092541003,250092215002,1
250092541003,250173323004,1
250092541003,250173335021,1
250092541003,250173143011,2
250092541003,250092141003,1
250235031021,250235031012,1
250235031021,250235109002,1
250235031021,250235041023,1
250235031021,250235081012,1
250092607001,250251005003,1
250092607001,250250920002,1
250092607001,250092607002,1
250092607001,250092131003,1
250092607001,250092601002,1
250092607001,250092611012,1
250092102002,250092106002,1
250092102002,250173341003,1
250092102002,250092105004,1
250092102002,250092131003,2
250092102002,250092051004,1
250092102002,250092109001,2
250092102002,250173343002,1
250092102002,250092105003,1
250092102002,250092106001,1
250092102002,250092091003,1
250092102002,250092173002,1
250092102002,250092141003,1
250092102002,250092114021,1
250092102002,250092114022,1
250214104001,250214103001,1
250214104001,250214091022,1
250214104001,250214412021,1
250092106002,250173341003,1
250092106002,250092105004,1
250092106002,250092131003,1
250092106002,250092051004,2
250092106002,250092109001,1
250092106002,250173343002,2
250092106002,250092105003,2
250092106002,250092106001,1
250092106002,250092091003,2
250092106002,250173384001,1
250092106002,250092114021,1
250092106002,250092022004,1
250092106002,250092068002,1
250092106002,250092059002,1
250092173002,250092141003,3
250092173002,250173343002,1
250092173002,250092022004,1
250092173002,250092131003,2
250092173002,250092109001,2
250092173002,250092114021,2
250092173002,250092114022,1
250092173002,250092051004,1
330151062004,330151064002,1
330151062004,330150670002,1
330151062004,330150670001,1
250173341003,250092105004,1
250173341003,250092131003,1
250173341003,250092051004,1
250173341003,250092109001,2
250173341003,250173343002,4
250173341003,250092105003,1
250173341003,250092106001,1
250173341003,250092091003,3
250173341003,250173344002,2
250173341003,250173383001,2
250173341003,250173373001,2
250173341003,250173384001,2
250173341003,250092059002,1
250173341003,250173335013,1
250173373001,250173384001,3
250173373001,250173335013,2
250173373001,250173323004,1
250173373001,250173332004,1
250173373001,250173331005,1
250173373001,250173335021,1
250173373001,250173383001,2
250173373001,250092109001,1
250173373001,250173343002,2
250173373001,250173344002,1
250173373001,250092091003,1
250173373001,250092059002,1
250092541001,250092543011,1
250092541001,250092131003,1
250092541001,250092544021,1
250092541001,250092518003,2
250092541001,250092215002,1
250092543011,250092131003,1
250092543011,250092544021,2
250092543011,250092518003,1
250092543011,250092215002,1
250092543011,250173323004,1
250092543011,250173335021,1
250092543011,250173143011,1
250173384001,250173335013,2
250173384001,250173323004,1
250173384001,250173332004,1
250173384001,250173331005,1
250173384001,250173335021,1
250173384001,250173383001,2
250173384001,250250504002,1
250173384001,250092106001,1
250173384001,250250920002,1
250173384001,250092109001,1
250173384001,250173343002,3
250173384001,250173344002,1
250173384001,250092091003,2
250173384001,250092059002,2
250173384001,250173837001,1
250173384001,250092051004,1
250173384001,250092114021,1
250173384001,250092022004,1
250173384001,250092105003,1
250173384001,250092068002,1
250092105004,250092131003,1
250092105004,250092051004,1
250092105004,250092109001,1
250092105004,250173343002,1
250092105004,250092105003,1
250092105004,250092106001,1
250092105004,250092091003,1
250092607002,250092131003,1
250092607002,250092601002,1
250092607002,250092611012,1
250092131003,250092544021,1
250092131003,250092518003,1
250092131003,250092215002,1
250092131003,250092051004,2
250092131003,250092109001,3
250092131003,250173343002,1
250092131003,250092105003,1
250092131003,250092106001,1
250092131003,250092091003,1
250092131003,250092601002,1
250092131003,250092611012,1
250092131003,250092141003,2
250092131003,250092114021,2
250092131003,250092114022,1
250214103001,250214091022,1
250214103001,250214412021,1
250092141003,250173343002,1
250092141003,250092022004,1
250092141003,250092109001,2
250092141003,250092114021,2
250092141003,250092114022,1
250092141003,250092544021,1
250092141003,250092518003,1
250092141003,250173143011,1
250092141003,250092051004,1
250092051004,250092109001,2
250092051004,250173343002,2
250092051004,250092105003,3
250092051004,250092106001,2
250092051004,250092091003,2
250092051004,250092114021,2
250092051004,250092022004,2
250092051004,250092068002,2
250092051004,250092059002,1
250092109001,250173343002,2
250092109001,250092105003,1
250092109001,250092106001,1
250092109001,250092091003,2
250092109001,250173344002,1
250092109001,250092059002,1
250092109001,250092114021,2
250092109001,250092114022,1
250092114021,250173343002,1
250092114021,250092022004,1
250092114021,250092105003,1
250092114021,250092091003,1
250092114021,250092068002,1
250092114021,250092059002,1
250092114021,250092114022,1
250214091022,250214412021,1
250173343002,250092105003,2
250173343002,250092106001,1
250173343002,250092091003,4
250173343002,250173344002,2
250173343002,250173383001,2
250173343002,250092059002,2
250173343002,250092022004,2
250173343002,250092068002,1
250173343002,250173335013,1
250173335013,250173323004,1
250173335013,250173332004,1
250173335013,250173331005,1
250173335013,250173335021,1
250173335013,250173383001,2
250092601002,250092611012,1
330151064002,330150670002,1
330151064002,330150670001,1
250250504002,250092106001,1
250250504002,250250920002,1
250092022004,250092105003,2
250092022004,250092091003,1
250092022004,250092068002,2
250092022004,250092059002,1
250092022004,250092106001,1
250092544021,250092518003,2
250092544021,250092215002,1
250092544021,250173323004,1
250092544021,250173335021,1
250092544021,250173143011,2
250173344002,250092091003,2
250173344002,250173383001,1
250173344002,250092059002,1
250092105003,250092106001,2
250092105003,250092091003,2
250092105003,250092068002,2
250092105003,250092059002,1
250235031012,250235109002,2
250235031012,250235041023,1
250235031012,250235081012,2
250173323004,250173332004,1
250173323004,250173331005,1
250173323004,250173335021,2
250173323004,250173383001,1
250173323004,250173143011,1
250173332004,250173331005,1
250173332004,250173335021,1
250173332004,250173383001,1
250092106001,250092091003,1
250092106001,250250920002,1
250092106001,250092068002,1
250173331005,250173335021,1
250173331005,250173383001,1
250235109002,250235041023,1
250235109002,250235081012,3
330150670002,330150670001,1
250092091003,250173383001,1
250092091003,250092059002,2
250092091003,250092068002,1
250173335021,250173383001,1
250173335021,250173143011,1
250173335021,250235452003,1
250092518003,250092215002,1
250092518003,250173143011,1
250251005003,250250920002,1
250235041023,250235081012,1
250092068002,250092059002,1
