cbg,baseline_structural_contrib
250092011001,0.6006062941208545
250092021011,0.7171327940602197
250092021012,0.5658882151090112
250092022001,0.570111746232107
250092022002,0.6078855869872324
250092022003,0.6108113460556629
250092022004,1.0984945955901841
250092022006,0.6134906899496875
250092031006,0.569581134821247
250092031007,0.5918689124621551
250092032002,0.6145172444244252
250092033021,0.5906108953266491
250092033022,0.7165623309348146
250092041021,0.6542972304468231
250092041022,0.7126446578440746
250092042002,0.8491867318809284
250092042003,0.6870595975937852
250092043002,0.8138631651137105
250092044001,0.6537952927550162
250092046002,0.6170210601137289
250092047011,0.5249421908461676
250092047012,2.1937573167668596
250092047013,0.7295671595588751
250092047022,0.7349770345529152
250092051001,0.742200885779803
250092051002,0.6773740992398977
250092051003,0.6706348480955173
250092051004,1.2223050447849675
250092052002,0.6103990547433873
250092052005,1.3423173775022543
250092053001,1.2525479575419518
250092053002,0.6642931874546889
250092054001,0.6684188875492298
250092054002,0.6026690173535205
250092054003,1.1974455476446204
250092055001,0.7513846484545039
250092056001,0.7471635256821749
250092056003,1.4078405557813893
250092056004,0.6821383278497277
250092057002,2.1162059677755845
250092057005,0.6867931469232684
250092058002,0.7397048017021218
250092058003,0.7322708558530155
250092059001,2.1158113735268773
250092059002,1.5150455001123846
250092059003,0.7455862281082652
250092061002,0.743119532883749
250092062001,0.6792208240287021
250092063002,1.5291873459418293
250092064004,0.7535230082500042
250092065002,1.5408545108503207
250092065003,2.365141412381913
250092066001,0.7469220830282186
250092067004,0.8026577891219312
250092068001,0.7397969096995296
250092068002,1.5468358363909955
250092069002,1.5415027900994982
250092070001,0.7324519103182829
250092071002,0.7046632939953775
250092072002,0.7367752482264374
250092081011,1.396499256317448
250092081012,2.1479151936713636
250092081013,0.6442643546699423
250092081014,0.630002977359212
250092081021,1.3232052752412171
250092082001,1.4198747750789515
250092082002,0.5852321688191355
250092082003,1.5327949845912454
250092082004,0.6542872650856266
250092091001,0.5725740153156373
250092091002,0.6740749723847208
250092091003,1.1319374535531201
250092091004,0.5566128422243639
250092091005,0.7207040089339345
250092092002,0.6012069433684193
250092092004,0.5457559532370555
250092101001,0.578992163257916
250092101002,0.6406765537605026
250092101003,0.6046550224424547
250092101004,1.128920108206229
250092102002,0.6084655729487688
250092102003,0.6077674687669947
250092105001,0.6989973586008971
250092105002,0.6250648369535354
250092105003,0.5765773397392588
250092105004,0.7149497243791154
250092106001,1.3737714545105093
250092106002,1.4470786659501775
250092107001,0.7338158994591328
250092107002,1.5649040156917025
250092107003,0.7816258676287866
250092108002,0.7643062883324043
250092108003,0.7580562658015334
250092109001,1.4090120371239139
250092109003,0.7135323393767758
250092111001,0.7475974684537803
250092111002,0.7093838243439403
250092113001,1.6656110383667486
250092113003,0.5806634259511869
250092114011,1.305536711442553
250092114021,0.5336780460006225
250092114022,0.6988907742522398
250092114024,0.5964881454931945
250092131001,0.48611463683565215
250092131003,1.0379610722060573
250092141001,0.5926245962884101
250092141002,1.1345847501131792
250092141003,1.2853992977364896
250092151011,1.2674215019660906
250092161002,0.5543335387677517
250092172011,1.176536628072242
250092172012,0.6366581679266711
250092172021,0.6278274362549616
250092172023,0.6379181264277255
250092173002,1.3514907609377795
250092173005,0.6730761280241445
250092175003,0.5763525900359784
250092175004,0.6784183194007517
250092175005,0.695041958856356
250092181001,0.4981502335623974
250092181003,0.5974285484804016
250092181004,0.5838026727070909
250092201012,0.6813294129398801
250092201014,0.7020228136279102
250092211001,0.6732431762671407
250092211002,0.6765570208925564
250092213001,0.6908238820744549
250092214001,0.7427673621084666
250092215002,1.3742351684851686
250092216001,0.7384972673993032
250092217002,0.7579637669445717
250092219011,0.7098279491049295
250092219012,0.6209044780306453
250092219022,0.631212316323164
250092221001,0.606110423437435
250092221002,0.6403188551595702
250092221003,0.641136510932705
250092233002,0.6448836478353298
250092501001,1.6798524762956433
250092502001,0.7327916700481508
250092505003,0.7889201801467391
250092506003,0.8083322621775314
250092514002,0.6898052269879692
250092514003,0.7836857737779632
250092516001,0.7076886224248182
250092516002,0.7799617983386351
250092517001,0.7018956633083586
250092518003,1.3603386662052959
250092518004,0.6223574355010584
250092521021,0.5258985858710397
250092521022,0.5640804889658545
250092521023,0.6175152246224681
250092522012,0.6716141636063587
250092522021,0.5884658697285903
250092522022,0.6552542484642765
250092523002,0.7617370015723031
250092523003,0.7021546021344022
250092525011,0.7199362794108988
250092525012,0.6915146266840159
250092525023,0.6036379280519457
250092526011,0.6719159116298943
250092526023,0.6035803896554071
250092531004,0.6504749856729932
250092532011,0.6342410308304679
