rank_pct,dev_no_F_plot,dev_reg_F_plot,dev_no_F_raw,dev_reg_F_raw,contrib_F_raw,changed_Hno_Hreg_raw
49.41860465116279,2.7,2.1,1.0,0.0,1.0,1.0
50.0,2.9,2.4,3.0,3.0,0.0,1.0
50.58139534883721,2.6,2.2,3.0,3.0,0.0,2.0
51.162790697674424,2.6,2.3,3.0,3.0,0.0,1.0
51.74418604651163,2.8,2.6,3.0,3.0,0.0,3.0
52.32558139534884,2.8,2.7,3.0,3.0,0.0,1.0
52.90697674418605,3.1,3.1,3.0,3.0,0.0,1.0
53.48837209302325,3.1,3.1,3.0,3.0,0.0,1.0
54.06976744186046,3.1,3.1,3.0,3.0,0.0,3.0
54.65116279069767,3.1,3.1,3.0,3.0,0.0,2.0
55.23255813953488,3.1,3.1,4.0,4.0,0.0,1.0
55.81395348837209,3.1,3.1,3.0,3.0,0.0,1.0
56.395348837209305,3.1,3.1,3.0,3.0,0.0,1.0
56.97674418604651,3.4,3.4,3.0,3.0,0.0,1.0
57.55813953488372,3.4,3.4,3.0,3.0,0.0,3.0
58.139534883720934,3.7,3.7,3.0,3.0,0.0,2.0
58.720930232558146,3.6,3.6,3.0,3.0,0.0,1.0
59.30232558139535,3.6,3.6,6.0,6.0,0.0,5.0
59.883720930232556,3.6,3.6,3.0,3.0,0.0,1.0
60.46511627906976,3.7,3.7,6.0,6.0,0.0,3.0
61.04651162790697,3.7,3.7,3.0,3.0,0.0,2.0
61.627906976744185,3.7,3.7,3.0,3.0,0.0,1.0
62.2093023255814,3.7,3.7,3.0,3.0,0.0,2.0
62.7906976744186,3.4,3.4,4.0,4.0,0.0,3.0
63.372093023255815,3.4,3.4,3.0,3.0,0.0,2.0
63.95348837209303,3.1,3.1,3.0,3.0,0.0,2.0
64.53488372093024,3.1,3.1,3.0,3.0,0.0,2.0
65.11627906976744,3.1,3.1,3.0,3.0,0.0,1.0
65.69767441860465,4.4,4.4,3.0,3.0,0.0,1.0
66.27906976744185,4.5,4.5,3.0,3.0,0.0,2.0
66.86046511627907,4.5,4.5,3.0,3.0,0.0,1.0
67.44186046511628,4.6,4.6,3.0,3.0,0.0,3.0
68.02325581395348,4.6,4.6,16.0,16.0,0.0,14.0
68.6046511627907,4.9,4.9,5.0,5.0,0.0,1.0
69.18604651162791,5.0,5.0,3.0,3.0,0.0,2.0
69.76744186046511,5.2,5.2,4.0,4.0,0.0,1.0
70.34883720930233,5.2,5.2,3.0,3.0,0.0,1.0
70.93023255813954,5.2,5.2,6.0,6.0,0.0,2.0
71.51162790697676,3.9,3.9,4.0,4.0,0.0,1.0
