,24j-223@62j-psr-vcq,222-222@62j-srj-tgk,222-222@62k-2jw-bp9,zzw-222@62j-rg6-kj9,224-222@62k-pjg-575,224-223@62j-sh4-45f,zzw-222@62k-p2d-9fz,zzw-222@62j-pvd-whq,zzw-222@62k-pc7-ckf,222-222@62j-t54-8gk,222-222@62k-2b5-wp9,222-222@62k-pbs-m6k,zzy-222@62j-sf9-qzz,225-222@62j-pjj-nbk,222-222@62j-t2b-5zz,224-222@62j-wgx-ndv,zzw-222@62j-qst-87q,22j-222@62j-sk3-jn5,222-222@62k-r96-syv,223-223@62j-sg9-vzz,223-222@62k-rcm-nwk,227-222@62j-shr-wp9,228-222@62k-pc7-d5f,222-222@62j-rk3-rtv,223-224@62j-sj2-snq,zzw-222@62j-wq5-ygk,23q-222@62j-sj4-nqz,zzw-222@62j-pst-2c5,zzw-222@62j-x3r-gzf,23k-223@62j-shx-bc5,225-222@62j-rz2-yd9,zzw-222@62j-sz6-3wk,225-222@62j-szd-jqf,222-223@62j-sjh-6kz,zzw-222@62k-fk7-ygk,222-222@62j-szw-wp9,zzw-222@62k-2kw-dy9,222-222@62j-sxz-9xq,zzw-223@62j-r5v-kcq,226-222@62j-sj7-qj9,222-224@62k-nyw-4gk,227-222@62j-sgt-v9f,zzw-223@62k-ns8-2ff,222-222@62j-stv-xh5,zzw-222@62j-sgx-mc5,zzw-222@62j-ptr-389,23v-222@62k-pc7-8qf,zzy-222@62j-ssg-n3q,222-222@62j-rgz-n5z,226-222@62j-rk3-835,222-222@62j-shb-t9z,222-222@62j-sx7-xwk,223-224@62j-sj4-68v
250173532003,24.66824549599096,25.111105438718216,73.02751474268125,65.84763275594781,13.819492444756056,7.127830365584644,34.47830799892377,30.36283595484788,32.156064680921475,34.90853845709385,73.74516276713871,40.76580046280139,13.663246500669192,45.797816385289146,16.738897073029687,81.21380539027628,32.99141906253919,2.961111487542732,33.50097993407305,5.2552108137797235,29.9278189305288,9.678559120427229,31.7040940766857,38.28184953867381,0.6278963674068304,69.19270822523107,3.6178772796063603,28.6500641518813,105.9871826743534,3.785273826768508,46.3534642216417,8.191959917739057,10.95408928218698,5.1574929857723175,45.468013860852466,20.09609179873941,71.3902301148243,13.429821516106689,22.687419780258963,6.088354245132499,41.52649648177927,11.646432345065275,25.727038269637713,19.704884123312425,8.962798883222572,26.351781495804403,32.4603021112617,10.989965495579678,39.12021815692264,39.02270544972991,5.210682395995887,34.711653390951135,2.703419991332994
250092173001,4.361052957515712,50.74572424244652,88.69970453563192,56.92497979952135,42.11626855902751,33.85957014964279,62.01146162143465,2.1261874493653745,54.58958739377028,35.848488711593184,85.26681347862466,60.737197991136014,25.49865369774073,19.224455318611298,12.299174553557032,55.28321542601193,46.92585166574535,25.916606364058786,60.557650571098485,32.43444212979735,56.30086623975071,37.95826064178139,54.388353287657296,26.382408141739795,28.053083017657094,46.39281529019256,27.652680894153384,0.21355734543642302,84.05506100545819,26.495618393392242,28.84406617411443,20.77833634704568,18.696203297874774,31.352366724398376,51.05931742899924,8.971490339738294,84.18481782074196,15.701093707878291,7.755683641765111,23.960535330289677,69.9792623572226,38.7731601451271,50.409563049085094,18.573123321578677,34.147973126453074,4.744755794749291,54.921279425265915,38.96284992110017,30.130128153862362,27.99683941656575,32.69993655155092,23.645051706685642,29.385181544308224
250092111003,4.52504213874514,48.769392719905866,89.12318464361596,55.2348927582832,40.5375409023067,32.133913661096955,60.918835366217756,4.422125474306369,54.161766376002426,33.531458485324926,86.03334041071751,60.60865763949719,23.305505988456645,21.5099568634795,11.466747571079818,55.71540575874632,47.18872049628824,24.374459230052537,58.68442065716374,31.213358827550053,54.36523455574749,36.612159501118434,53.93222135610189,24.530609665722256,26.57959819938195,46.15360233995819,26.469659644101746,2.4364808822248225,83.82379807667957,25.299350546974686,27.616910575766433,19.1396467544565,16.89479180164613,30.196575932276303,48.71970433302903,7.097594776947986,84.84153066936074,13.94311398862294,8.006783004874238,22.85754706297287,68.46094757523754,37.64630720533883,49.69718805249484,16.20714436283477,33.15860761171583,2.405486883700816,54.49328334657747,37.32276344619194,28.151464949611302,26.115256083275003,31.064098361716983,21.657384943893742,28.11813785116811
250173334001,18.558082716373566,30.468887515261518,85.91264667640817,52.781210140203136,24.525187689570767,15.618581576454236,47.384550133686695,22.88436384892172,45.79322230500299,23.1368201258777,85.65040288852377,54.15335340872988,4.78418599833478,39.92893140039846,13.906569526622176,68.84844958058508,44.70270435776534,10.890954919751461,40.69754815431571,18.990923197223456,36.17242357207834,22.614262455472563,45.362764964059565,24.545782957018005,13.111127522627111,55.99540974028489,15.708540151987977,20.879203673695407,92.44621248056566,14.796059992187178,32.76806178009374,7.342533282995961,5.449501141028628,18.734858954694946,36.15656301624866,11.998813611874018,83.60048173287096,7.063217223829078,18.6267333181514,14.171643726221385,52.100986456495605,25.273174945761102,39.46301642027753,6.029125172170177,22.540110580087813,16.931213469379284,46.10275788716097,21.063867042592637,25.521192129032613,25.30456952672671,15.357356278362092,20.9782610507852,16.150764562123427
250092201021,27.632174856653915,75.19275569600262,100.50230474227779,67.27426209543488,65.98362290599663,58.06555270989836,84.05197776489057,22.353283260456653,73.51163170155576,55.84197822316426,94.08327443980755,77.62030929082526,49.78892972007683,7.346090663794438,35.43381813441341,43.44501419432201,61.90462594583619,49.8727366455691,84.91558441616671,55.47860830494175,80.72316367984948,61.26003592542633,73.47541723311168,41.88451817181477,51.837738557974255,42.58916834743775,50.72098993536017,24.313096903647498,76.88373142889205,49.63767471139651,38.260806654661344,44.96015897226299,43.07256428464292,54.22811002898972,70.93676838489115,33.42388605609894,94.06827762304269,40.06364192928479,29.5291722881687,46.94231964251286,93.52490283729233,61.35910854431512,70.95497477443121,42.09322793281878,56.38216047978598,28.260781560306093,73.83269989780494,62.985506961861724,46.29412041317688,43.50524380604789,56.758954629909645,40.87255133195761,52.63688870841958
250214042011,39.53289688568147,9.52356598264172,76.4285132479691,67.6505209015359,5.546309045366187,9.140351359355504,27.331734237245055,44.90699078152591,33.952139761589756,36.04587542277892,79.7847201381115,43.546708558002685,20.132117047459467,61.11107585167423,32.05878566505078,92.09391915956803,41.53462153156136,17.538783846972635,17.813265114203286,15.383109216581884,14.057706769379209,11.121295157314224,33.30955120521614,45.210707932818494,15.994595324434027,78.37522722013,18.693404319371123,43.03046249102783,113.54676606987894,19.377938349923948,54.51353705149093,22.19830969536245,24.1794535718692,16.771120368191113,41.38085937494593,33.970993529859044,76.78315884817869,27.1653347954177,38.036308783037924,21.924303772325896,28.679604468047607,14.939486810477872,26.235286239949662,28.990182016128575,17.974017495664558,39.86540996242226,34.16093047828736,5.464652904025914,44.50114621431207,45.39474731948446,10.728761356022849,42.08932772439092,16.7069077501919
250173344001,16.41952034321898,35.70915124799006,90.66915454577796,48.379817844721124,30.58016893703912,21.676849066422403,53.451907734650895,19.477470716836557,51.28945982450702,20.783114815637962,89.77947088422926,59.379722807402565,9.528642429839957,36.51577077590718,14.613598045267574,62.81650450604703,49.00110729376891,16.602726779055363,46.13132276439689,24.753145700409686,41.47630205837852,28.64207463402705,50.888286977113545,19.011047835858715,18.91735550191612,49.924211656920626,21.070215505879457,17.484719454215423,86.47975707906818,20.04628895909501,26.824370290534443,12.142856429230259,9.44783169846359,24.3580367080807,35.190031474192814,10.00438959904114,87.92003847546226,9.017078808577656,17.62969039311882,18.891579770437833,58.0348802359101,31.15808068232585,45.19463509443853,1.2088840834318442,28.108813583880206,12.945295873333926,51.60492264550511,27.11376522623323,20.562954479577748,19.9481828007395,21.437796766613477,15.389808745481284,21.786102423554038
250214172022,30.34712459460867,31.385007524334558,60.55922253379979,78.174432903404,17.2506020631009,16.923593336138612,28.31686221077603,36.13632685785259,20.72890177672441,47.430885122388666,61.271985898293934,28.653777388383837,26.143879536140712,48.7253677695173,22.49449254598505,89.63328352883724,20.75706875000215,14.876471504328833,36.844639830674645,8.17634959995907,34.685108596246174,11.037120644809072,20.392952253845678,49.75564620142191,13.117514225041388,78.97705320092042,9.825245893378185,34.87852061300541,116.31321268204296,10.742463806516996,57.12448710338097,18.601842006997167,21.348823151501556,7.525889133679923,57.740849388413736,28.09543939489147,58.869469974606865,22.767873136866314,27.31493415086841,12.039340888889361,39.65910393132704,7.926937601217252,15.74557051077214,31.171347986302443,4.353708748302292,34.097118004779325,21.05328683500108,16.80953202563365,51.028521704703586,50.65827295714549,15.082389682330117,46.13414835291506,9.831408084143966
250214222011,41.07022078549128,41.14595130283,46.649451434209745,92.04844469817489,27.44794362072343,30.01565344326339,26.125429755462967,46.49717469038025,10.255683450934603,61.34064022250403,47.66209432708088,15.445965379172275,40.06287672064057,56.10560603067939,34.056017708716986,100.66011218810648,9.103331990563646,28.785684387088693,43.73411805134321,21.74476416312267,42.97597755862474,22.421503816348675,10.357896427020668,63.24596568802003,27.024771207150668,91.16522370280714,23.690145030137725,45.622252893836,128.7460205400624,24.528904293954447,70.15951513455619,32.20166941637211,34.8340928826821,21.342101327771044,71.28405145312595,40.2868463114626,45.09780584781066,35.84791067991848,37.67183658228066,25.39034493048889,41.05996287479762,18.281277714951223,11.4508132205108,44.799606236607204,17.722841509111742,45.82049331827428,10.558426959643874,28.378288997104843,64.73503782449033,64.22907754106082,28.39372348513861,59.61909310703877,23.736965919138587
250173321001,24.98039460913783,30.23374917072038,93.97630039820508,44.86407383343869,28.49299740379267,20.180694618999485,52.128237756216656,27.98599317524783,52.979468146073245,14.290506965884758,94.19766590912725,61.746495298780665,7.368325060062685,44.929543017922796,22.153777750269487,66.89042390730856,53.239776365702376,18.550513914609102,40.865370941424516,26.07065455762554,35.99488799594955,28.379848532620784,52.49286898335221,19.331660293153746,20.38344659281694,52.6084217195452,23.67713914144618,26.01138943322061,87.73921819822485,22.93616601343563,28.682386974758277,16.12875349924101,14.385557134049948,26.153399584204596,27.373319773116553,18.462388404219528,92.0310679200323,15.567592335762026,25.95820262542667,22.768920745223237,54.364047331409104,31.73119409080347,46.154569557706395,7.403040374753325,29.945455552466758,21.380915456954334,53.27435375190737,25.13089852164148,18.95960101237238,19.57496048632176,20.769010125794836,16.247327074349847,23.652004868837068
