f_values_iter,distances_iter,social_iter,diff_iter
-76494.75364411385,27384.944876356923,530.9650274214996,15.362291495737216
-77233.47212393122,25889.66723672742,538.9575641531073,15.491933384829668
-77653.43616179664,24985.798854471257,547.920435514953,16.673332000533065
-77981.41988730693,24384.033386660994,555.8121563073325,16.0
-78268.84945695866,23746.832582660543,562.465117579809,14.422205101855956
-78480.02283678207,23301.188546977624,571.2298495493203,14.89966442575134
-78695.46664547967,22966.004667443485,578.4731378519007,14.832396974191326
-78880.20032081984,22680.681756613827,586.2603114219964,25.13961017995307
-79052.8359167759,22458.872473682615,592.0194595944668,12.884098726725126
-79136.11562446758,22237.72136719405,607.5221212403329,14.422205101855956
-79293.87409921514,21984.076655671714,614.3420797400245,14.560219778561036
-79448.73239518618,21846.666971274426,623.9063659008493,14.422205101855956
-79541.747195328,21646.66020367289,629.987336568178,24.979991993593593
-79596.99082960335,21582.39381323186,636.3823682049186,14.142135623730951
-79663.717233953,21482.82968422612,642.6721927110141,13.2664991614216
-79719.8802408718,21390.232072460632,652.3468077560657,15.362291495737216
-79777.22150660215,21396.79474229016,661.4339197077437,21.447610589527216
-79852.6023270473,21279.731572220142,667.903108356424,23.916521486202797
-79895.88360970339,21336.822216039804,673.1261937134328,23.45207879911715
-79969.50381538695,21309.037240751546,678.7662549527311,23.664319132398465
-79961.59975432292,21353.554799230275,681.052384080606,23.15167380558045
-79987.83810345849,21280.74161399007,681.2566649520165,22.891046284519195
-79982.41478931124,21336.17215024906,686.8862410840943,23.664319132398465
-79985.87836558124,21316.835901300532,687.3311561080789,23.15167380558045
-79982.26118842751,21367.615414063144,690.7079596643817,23.83275057562597
-79986.10987509365,21278.065151164275,691.6278215431207,23.748684174075834
-79998.6416003064,21308.26148884624,694.0293207338902,23.53720459187964
-79993.05418185602,21230.660222030645,694.3859816594602,23.83275057562597
-80014.90936204397,21275.521209393723,697.6066749073034,24.041630560342615
-80015.87461492923,21197.86657026376,697.0492463501307,23.790754506740637
-80026.81155805082,21257.183271578346,699.4764871699208,23.366642891095847
-80011.85037022558,21165.79767001464,700.7287319391542,23.958297101421877
-80039.8428583462,21234.842899863535,703.6541052099163,23.916521486202797
-80031.5469610631,21143.038803494026,703.7849417938077,24.0
-80039.14132543473,21206.25990286072,706.4701309873801,23.83275057562597
-80039.01468136582,21132.4635975619,707.2533244216752,23.664319132398465
-80043.23856553939,21178.974224385947,710.3207860987404,23.45207879911715
-80050.29513526498,21104.01616296002,710.809063244765,23.664319132398465
-80058.09479898721,21179.708577157835,713.1439163434384,23.916521486202797
-80061.78432123717,21116.542138099463,712.7894510947323,23.83275057562597
-80073.70908539124,21172.3438150387,715.2529183873268,23.748684174075834
-80075.92503180711,21098.56345610512,715.6943705151407,24.819347291981714
-80077.76782301995,21206.21249340911,717.2192940355892,23.62202362203543
-80073.64888601535,21134.285555138158,717.5513193535662,23.57965224510319
-80075.80986358365,21212.147303602673,721.2158839115507,23.748684174075834
-80073.36888300105,21128.32490215121,721.5031326957103,23.83275057562597
-80079.81778274314,21182.38346570686,724.650648763343,24.08318915758459
-80077.5469862369,21137.50764966103,725.1589800956291,24.08318915758459
-80110.84987032265,21245.7841244061,727.3162830344685,23.664319132398465
-80071.66659803047,21186.4817249458,729.6575737331298,23.49468024894146
-80079.06953814173,21249.774134636176,732.7081004962445,23.706539182259394
-80072.58067505855,21183.058995439562,733.1059476065993,23.40939982143925
-80076.07937689047,21246.988719294386,735.4373127234708,23.366642891095847
-80080.52299293799,21198.993304447074,735.7647591162848,23.57965224510319
-80086.35361107062,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,23.748684174075834
-80104.8995518525,21202.370545985654,737.0061655818984,23.748684174075834
-80090.06594826531,21278.824480197767,738.1735047421275,
