f_values_iter,distances_iter,social_iter,social_iter_weight,diff_iter
-115483.13046617081,27384.944876356923,530.9650274214996,2583.5120580869852,15.231546211727817
-116582.2651600154,25992.312588079025,539.827781998712,2589.244985513118,15.491933384829668
-117185.5649799145,25054.20708817966,547.492247629612,2593.7069209187284,16.492422502470642
-117686.15292035973,24506.676464070864,555.0427727467585,2598.3529400197094,15.748015748023622
-118135.6543045839,23918.013856913785,562.1831320902567,2600.082294984679,15.362291495737216
-118446.875426183,23413.549701082433,570.2062520413756,2602.290560554932,16.492422502470642
-118766.75171618086,23049.94901529671,576.6696774018196,2604.660210745427,16.911534525287763
-119034.23468489209,22721.44119997983,582.1010227937277,2606.740522331547,25.69046515733026
-119271.7107987086,22511.977975944388,586.4332718971015,2609.05144609145,15.231546211727817
-119471.25339805525,22475.745550536354,594.9630093286078,2614.4681172514597,15.748015748023622
-119733.690553966,22222.090243713,604.3864796555254,2615.526533587772,15.427248620541512
-119919.22945371132,22089.47881410823,612.89714304424,2616.8310885337096,25.37715508089904
-120022.11094812477,21961.728162343286,618.5731128119503,2619.4118327785627,15.874507866387544
-120184.48686830032,21916.34812560953,626.549807488308,2622.4092325770453,19.078784028338912
-120341.92188381426,21745.729710085736,632.5996130126676,2622.9444237021125,15.620499351813308
-120436.4192833742,21724.649975978682,641.1644229082451,2626.2056516591447,15.362291495737216
-120594.06399154942,21571.78983831164,648.0181487146838,2625.6360856723227,15.620499351813308
-120633.44589979574,21524.127977912685,655.0741452953014,2626.9344739474677,15.231546211727817
-120722.73497240563,21535.725178851608,663.5712666475636,2629.1221183853086,24.899799195977465
-120800.19926537285,21526.277052801346,666.0897280008633,2629.2964823199263,16.73320053068151
-120912.37566955396,21539.824084204065,671.565120432741,2629.2290296391884,15.362291495737216
-120870.48382889801,21538.0374354664,676.0900305227708,2630.622754923907,22.80350850198276
-120895.23183886413,21458.9447287466,677.7095456069459,2628.9299501054584,22.715633383201094
-120909.28215542504,21527.79216383334,681.9005520517048,2630.738025607184,23.108440016582687
-120923.56435054868,21417.176051386272,684.2329831346167,2628.749955099728,23.748684174075834
