poi_id,longitude,latitude,poi_code
222-222@62j-pg8-fs5,-70.834737,42.669658,624190
222-222@62j-rgz-n5z,-71.196975,42.706393,624190
222-222@62j-rk3-rtv,-71.143076,42.704274,624190
222-222@62j-shb-t9z,-71.167177,42.350929,624190
222-222@62j-srj-tgk,-71.402075,42.307608,624190
222-222@62j-stv-xh5,-71.111766,42.538271,624190
222-222@62j-sx7-xwk,-71.132106,42.672668,624190
222-222@62j-sxz-9xq,-71.034522,42.47002,624190
222-222@62j-szw-wp9,-70.978444,42.515723,624190
222-222@62j-t2b-5zz,-70.952013,42.460399,624190
222-222@62j-t54-8gk,-71.312871,42.635229,624190
222-222@62k-2b5-wp9,-70.569726,41.830162,624190
222-222@62k-2g5-hkf,-70.906048,41.881655,624190
222-222@62k-2jw-bp9,-70.711346,41.773075,624190
222-222@62k-pbs-m6k,-70.940961,42.015317,624190
222-222@62k-r96-syv,-71.469259,42.225911,624190
222-223@62j-sjh-6kz,-71.082594,42.317881,624190
222-223@62j-szw-c5z,-70.97187,42.521429,624190
222-224@62k-nyw-4gk,-71.434498,42.078233,624190
223-222@62j-shn-ct9,-71.221113,42.304436,624190
223-222@62k-rcm-nwk,-71.446343,42.267133,624190
223-223@62j-sg9-vzz,-71.099335,42.314069,624190
223-224@62j-sj2-snq,-71.106597,42.366688,624190
223-224@62j-sj4-68v,-71.087049,42.340889,624190
224-222@62j-wgx-ndv,-70.778099,43.050793,624190
224-222@62k-pjg-575,-71.23347,42.280734,624190
224-223@62j-sh4-45f,-71.19158,42.354602,624190
225-222@62j-pjj-nbk,-70.663462,42.613086,624190
225-222@62j-rz2-yd9,-71.079282,42.777552,624190
225-222@62j-szd-jqf,-71.065101,42.455064,624190
226-222@62j-rk3-835,-71.162401,42.709532,624190
226-222@62j-sj7-qj9,-71.033089,42.373489,624190
227-222@62j-sgt-v9f,-71.120491,42.256992,624190
227-222@62j-shr-wp9,-71.156881,42.28289,624190
228-222@62k-pc7-d5f,-71.026762,42.081996,624190
22f-222@62j-pst-59f,-70.88619,42.551943,624190
22j-222@62j-sk3-jn5,-71.099166,42.387369,624190
22w-223@62j-pss-rkz,-70.877672,42.549414,624190
23k-223@62j-shx-bc5,-71.059344,42.358567,624190
23q-222@62j-sj4-nqz,-71.064582,42.348717,624190
23v-222@62k-pc7-8qf,-71.020208,42.076083,624190
24j-223@62j-psr-vcq,-70.89783,42.521682,624190
zzw-222@62j-pst-2c5,-70.886506,42.561967,624190
